State,year,Kharif,Rabi,Zaid,Avg_Annual_Rainfall
ARUNACHAL PRADESH,1946,2679.9,320.2,1459.8,1486.633333
ARUNACHAL PRADESH,1947,2816.9,438.9,1763.4,1673.066667
ARUNACHAL PRADESH,1948,4206,379.3,2635.3,2406.866667
ARUNACHAL PRADESH,1949,3100.5,482.7,2235.4,1939.533333
ARUNACHAL PRADESH,1950,,580.8,905.2,743
ARUNACHAL PRADESH,1951,1974.7,284.2,1853.1,1370.666667
ARUNACHAL PRADESH,1952,1446.7,373.2,853,890.9666667
ARUNACHAL PRADESH,1953,1617.5,,1175.7,1396.6
ARUNACHAL PRADESH,1957,2875.9,,,2875.9
ARUNACHAL PRADESH,1958,3338.7,854.8,1381.2,1858.233333
ARUNACHAL PRADESH,1959,2792.6,480.2,1735.6,1669.466667
ARUNACHAL PRADESH,1960,3236.8,71.6,1054.9,1454.433333
ARUNACHAL PRADESH,1961,2137.9,575.7,1558.4,1424
ARUNACHAL PRADESH,1962,3475.2,,1986.1,2730.65
ARUNACHAL PRADESH,1963,3138.5,221.9,1533,1631.133333
ARUNACHAL PRADESH,1964,3896.1,476,2020,2130.7
ARUNACHAL PRADESH,1965,1244.7,287.1,1069.7,867.1666667
ARUNACHAL PRADESH,1966,1515.1,238,929.7,894.2666667
ARUNACHAL PRADESH,1967,1121.2,138.8,661.6,640.5333333
ARUNACHAL PRADESH,1968,1385.9,192.5,1070.8,883.0666667
ARUNACHAL PRADESH,1969,1392.7,122,775.4,763.3666667
ARUNACHAL PRADESH,1970,1320.2,273.5,789.3,794.3333333
ARUNACHAL PRADESH,1971,1359.3,434,837.3,876.8666667
ARUNACHAL PRADESH,1972,1357.9,284.2,953.7,865.2666667
ARUNACHAL PRADESH,1973,1385.5,517.9,1125.1,1009.5
ARUNACHAL PRADESH,1974,2023.5,391.7,1115.4,1176.866667
ARUNACHAL PRADESH,1975,1177.7,580.8,723.3,827.2666667
ARUNACHAL PRADESH,1976,1416.7,394.9,1114.3,975.3
ARUNACHAL PRADESH,1977,1950.2,636.8,1730.8,1439.266667
ARUNACHAL PRADESH,1978,1417.4,400.9,1289.8,1036.033333
ARUNACHAL PRADESH,1979,1619.2,647.3,746.6,1004.366667
ARUNACHAL PRADESH,1980,1957.1,389.2,1399.8,1248.7
ARUNACHAL PRADESH,1981,1667.4,385.9,1232.5,1095.266667
ARUNACHAL PRADESH,1982,1746.4,305.1,1157.7,1069.733333
ARUNACHAL PRADESH,1983,1980.6,483.9,1421.7,1295.4
ARUNACHAL PRADESH,1984,1853,420.1,1422.2,1231.766667
ARUNACHAL PRADESH,1985,1992.2,325.7,1454.2,1257.366667
ARUNACHAL PRADESH,1986,1599.1,336.7,962.3,966.0333333
ARUNACHAL PRADESH,1987,2461.9,241,1231.9,1311.6
ARUNACHAL PRADESH,1988,2457,632.8,1352.4,1480.733333
ARUNACHAL PRADESH,1989,1956.8,603.6,1205.4,1255.266667
ARUNACHAL PRADESH,1990,2369.5,429.5,1662.3,1487.1
ARUNACHAL PRADESH,1991,2303.9,402.8,1336,1347.566667
ARUNACHAL PRADESH,1992,1702.7,383.9,1143.2,1076.6
ARUNACHAL PRADESH,1993,2203.7,471.9,1242.8,1306.133333
ARUNACHAL PRADESH,1994,1154.4,302.7,1246.4,901.1666667
ARUNACHAL PRADESH,1995,2155.2,266.5,1334,1251.9
ARUNACHAL PRADESH,1996,1472.5,314.8,1049.3,945.5333333
ARUNACHAL PRADESH,1997,1583.7,225.3,1013.8,940.9333333
ARUNACHAL PRADESH,1998,2707.4,315.8,1433.4,1485.533333
ARUNACHAL PRADESH,1999,1519,254.4,993.2,922.2
ARUNACHAL PRADESH,2000,1650,246,1160.6,1018.866667
ARUNACHAL PRADESH,2001,1147.8,327.7,837.7,771.0666667
ARUNACHAL PRADESH,2002,1549.4,268.3,968.4,928.7
ARUNACHAL PRADESH,2003,1656.6,330,889.5,958.7
ARUNACHAL PRADESH,2004,1578.7,282.7,1087.2,982.8666667
ARUNACHAL PRADESH,2005,1343.7,387.2,873.9,868.2666667
ARUNACHAL PRADESH,2006,1393.5,278.4,1108.1,926.6666667
ARUNACHAL PRADESH,2007,2185.1,244.7,1121.1,1183.633333
ARUNACHAL PRADESH,2008,1508.7,235.8,923.5,889.3333333
ARUNACHAL PRADESH,2009,1111.8,243.5,653.8,669.7
ARUNACHAL PRADESH,2010,1653.6,184.8,1527.4,1121.933333
ARUNACHAL PRADESH,2011,1384.2,174.7,923.3,827.4
ARUNACHAL PRADESH,2012,2325.6,389.9,1370.7,1362.066667
ARUNACHAL PRADESH,2013,1165.9,251,916,777.6333333
ARUNACHAL PRADESH,2014,1750.8,186.3,881.8,939.6333333
ARUNACHAL PRADESH,2015,1936.9,207.1,1261.4,1135.133333
ASSAM & MEGHALAYA,1901,1710.9,327.1,985.4,1007.8
ASSAM & MEGHALAYA,1902,2108.9,125.6,1338.3,1190.933333
ASSAM & MEGHALAYA,1903,1828.5,265.5,1058.2,1050.733333
ASSAM & MEGHALAYA,1904,1548,231.9,1269.9,1016.6
